index,marker,group,meaning,what_it_tells_us,observed_global_pattern,mean_intensity,zero_fraction,p99,p999
0,Hoechst1,nuclear,DNA dye,all nuclei; use for tissue geometry and segmentation,DNA/nuclei; should outline essentially all nuclei.,1013.3769161635884,0.002257186764229,14677.0,28275.691000000108
1,MUC1,epithelial/mucin,apical epithelial mucin,luminal/apical epithelial surface,Apical epithelial mucin/glycoprotein; patchy epithelial signal is expected.,25.056939239007768,0.9578997854276392,874.0,3090.691000000108
2,CD25,immune/T-reg/activation,IL2RA,activated/T-reg immune cells; sparse if specific,Activated/regulatory T cells; sparse immune marker.,17.80009681743968,0.9975668331775122,0.0,848.691000000108
3,CDX2,epithelial/nuclear TF,intestinal nuclear transcription factor,intestinal epithelial nuclei,Intestinal epithelial nuclear transcription factor.,84.24594317883155,0.2934083442281887,1192.0,4179.073000000324
4,Synaptophysin,neuroendocrine/neural,synaptic vesicle protein,neuroendocrine cells and neural elements,Sparse neuroendocrine or neural structures expected.,17.573362809940484,0.982412347180058,192.0,3771.691000000108
5,CD57,immune/NK/T,HNK-1 epitope,NK/senescent T/neural or rare epithelial contexts,NK/senescent T/neural contexts; sparse immune-like signal.,20.887090033064386,0.9973352583190715,0.0,1096.0
6,NKG2G,immune/NK,NKG2D/CD314 panel marker,NK/cytotoxic immune context,NK-like marker name in panel; should be immune-associated if specific.,45.372968427750855,0.3772860626024384,239.0,2693.382000000216
7,Vimentin,stromal,intermediate filament,"mesenchymal stroma, endothelium, some immune cells",Mesenchymal/stromal cells and some immune cells.,148.8320407542291,0.8839617523767198,3537.0,9963.073000000324
8,CD4,immune/T-helper,T-helper marker,CD4 T cells; also some APC contexts,Helper T cells and some myeloid contexts.,44.901858048925526,0.9715658795225748,955.0,4774.382000000216
9,CD19,immune/B,B-cell receptor complex,B cells/lymphoid aggregates,B cells; should form lymphoid aggregate or scattered lamina propria signal.,44.662481821741856,0.4304750304224763,246.0,3201.45500000054
10,CD7,immune/T/NK,T/NK marker,T/NK cells with CD3 or CD56/NKG2D support,T/NK cells; should overlap CD3/CD45.,5.000628776769202,0.9949530463825188,0.0,328.0
11,CD11c,immune/myeloid/APC,integrin ITGAX,dendritic cells/myeloid APC,Dendritic/myeloid antigen-presenting cells.,32.59632468289185,0.988719726663809,51.0,4717.382000000216
