,Hoechst1,MUC1,CD25,CDX2,Synaptophysin,CD57,NKG2G,Vimentin,CD4,CD19,CD7,CD11c,CD161,CD15,CD34,CD16,ITLN1,HLADR,CD123,CD66,CD3,CD45RO,CD38,CD90,CK7,aSMA,CD117,CD127,MUC2,CHGA,FAP,CollagenIV,CD21,BCL2,CD31,Ki67,SOX9,CD8,CD36,CD138,CD69,CD49f,CD49a,CD68,OLFM4,Podoplanin,CD45,CD163,CD44,CD56,Cytokeratin,CD206,aDefensin5,DRAQ5
Hoechst1,1.0,0.1418806698205285,0.03097279769675426,0.7449970528806885,0.09734283688948595,0.04424430330819539,0.5114249610621977,0.34377721965869634,0.36388620821254836,0.3375776591578228,0.03670234683934101,0.23468998438900554,0.19860855119244467,0.2569817069778547,0.35221322655686954,0.31692651244475817,0.24168410273583504,0.32825503898669856,0.7923090425198422,0.1671294521437273,0.21476508531622537,0.5092323758029961,0.20660826219906078,0.6637947287847976,0.325949607902921,0.4991640090986499,0.17619741204104183,-0.15662049196879876,0.2336294217523027,0.0749040969116798,0.7504699922529292,0.539307538469139,0.016126137342537348,0.6947333242222079,0.2994473235515834,0.5237177967827434,0.5293637372424248,0.07708733641682128,0.12915842237759906,0.2011144768720411,0.1698421756075401,0.5297897617925436,0.5181305963266684,0.12233565917250533,0.09950340775429752,0.47766299727084743,0.3908789709592726,0.3333737575665168,0.6061924399128614,0.48163376273330977,0.3181020219929691,0.3763481763647674,-0.1878355115507025,0.8250348542661278
MUC1,0.1418806698205285,0.9999999999999998,0.2581388983600931,0.4225568855619136,0.10196886430815642,0.22543389815930218,0.421161351343861,0.04591905212724989,0.16359361153908303,0.4014227798679714,0.34087864655141026,0.1398442527953939,0.38911489357410417,0.7547955325229103,-0.041113016972004084,0.32346050012692207,0.8499944917881064,0.05938040999395994,0.3190674626034898,0.540940746238631,0.22916798326545676,0.30875383384468974,0.0940046649517471,0.04448366179451889,0.4060826244437104,-0.10525888693923359,0.024401753625410985,0.345201678986238,0.6124270935375536,0.20142542107634726,0.11777789431978948,-0.06225168764465105,0.1794032008104825,0.3048097790467065,-0.014703973704044358,0.5995757862246405,0.17443312064383462,0.44289724644782447,0.023579164251730397,0.5343660413656947,0.16573067912836278,0.4887021782315449,-0.11032474199695932,0.2596995784418403,0.4160438831790491,-0.0071888792437627995,0.14046192065669846,0.014009894030559814,0.005487990232542061,-0.09167032545691725,0.7148888874560839,0.028415249273203786,0.20253859842585722,0.15092198717026317
CD25,0.030972797696754255,0.2581388983600931,1.0,0.18040725780336492,0.2613825591540264,0.8295823332915824,0.2701912434014086,0.11610461713664814,0.3016001233768839,0.2787461134714723,0.5632849824468841,0.3908210801992509,0.26768968491581663,0.14091892742061518,0.18113086106902437,0.238860632175157,0.22199448245657902,0.25082879755883997,0.12014461179853003,0.15611741743112645,0.4368099006529703,0.22263392058424555,0.13729895716852125,0.0686372830959385,0.18553856960290513,0.012136309564515136,0.21766617593348753,0.2754337036897102,0.05951727082539108,0.5419105009239512,0.08379078527786993,0.05859901096121897,0.6862512621148162,0.1251944769014723,0.11197641820635906,0.16819641306695668,0.054599544886220396,0.2923543817693191,0.18334148189831184,0.23130346266781995,0.35198377889904553,0.10352399838222412,0.017427839450999422,0.18169369067579344,0.13863589945625004,0.051150971655466476,0.07915346496009655,0.06524093990220514,0.015522492746110205,0.013146717855623661,0.0185160352985504,0.03329675017792865,0.05958748816621336,-0.012669923701069006
CDX2,0.7449970528806885,0.4225568855619136,0.1804072578033649,0.9999999999999999,0.17109198124684402,0.22044841199271728,0.8865449580219371,0.2982575993699528,0.35601421768863395,0.7370921809948585,0.19055976864191118,0.28360198520249275,0.6214060206181624,0.44346053351103837,0.27690475047574076,0.6949495643031492,0.4351258513719841,0.31078097191717863,0.86440291420129,0.36487879445682714,0.2771371554630584,0.7551384868522585,0.2333780506384202,0.6276622505221566,0.6569122458712332,0.5622715022134283,0.1927092023640595,0.24633658452156676,0.37179181152686935,0.18775132395464778,0.6858994358752892,0.5873890395897152,0.14319064755272784,0.8102947509001097,0.2400153151642064,0.8076719982858979,0.7062728145411092,0.3279255637642812,0.13035177276405768,0.4402491155943066,0.21896088677916997,0.6536890448162678,0.5805330495191229,0.32303646381256557,0.18679226188887685,0.4968837775803376,0.36224180171500214,0.221847382117052,0.652650053985559,0.5455378147083814,0.5111056900798192,0.2540151364530888,0.013577862925229011,0.7161638064793516
Synaptophysin,0.09734283688948595,0.10196886430815641,0.26138255915402636,0.17109198124684402,1.0,0.2382258040096205,0.18459283549177347,0.23148891001803085,0.09302028263997822,0.16304034792750105,0.2534484175478225,0.1449378616087389,0.14719614654536675,0.022851180345816523,0.22864310932049062,0.1784824849052303,0.06045031870036999,0.10086920208839463,0.13258192213600342,0.0405480690469166,0.12143743190158435,0.16735316841353026,0.05003115813451946,0.2835982241205546,0.19044668282585492,0.18606073292665612,0.3097660173178706,0.1482045859494824,0.012636729707246844,0.16979325819646357,0.19414532141128962,0.23169894100202937,0.216488753402262,0.3080421213341902,0.020890926038618227,0.19974634329591484,0.17823562343574334,0.15645234038212072,0.06857127331379266,0.32933473157693016,0.10229328281403392,0.25116114988352145,0.24096297498006436,0.17841177586776433,0.031176583480583518,0.46494513322773007,0.05906508063300025,0.07849923136705396,0.2659663744775565,0.3445486020601617,-0.032152191295552836,0.04955161029490825,0.1679980426464348,0.13684296891665831
CD57,0.04424430330819539,0.22543389815930218,0.8295823332915824,0.22044841199271728,0.23822580400962054,1.0,0.34318957880821604,0.12161188924344905,0.3208077364158432,0.35716102391577126,0.5380558003297667,0.4345833168171846,0.34653029351481907,0.12199782453987316,0.2040157701932574,0.3208035176000288,0.18500781062966118,0.25864673037381847,0.14988934335905166,0.1463764651720186,0.4032150706589002,0.2998905252430056,0.1558004075847801,0.06202882652757838,0.2335595005732727,0.005961425216619675,0.22197243346960183,0.3632223309349593,0.042070148074531466,0.5302742897244036,0.08819763671752073,0.05925451872120893,0.6661835994350478,0.13419500448749533,0.10772430672574933,0.17261441856196116,0.03307177441938757,0.298107323142801,0.1737495756357503,0.20816076214262683,0.30420583299438403,0.10107386308038412,0.002647198307204386,0.1655370834676953,0.12954331021313847,0.0293360889232566,0.07375349341476942,0.05413863572470088,-0.0014682831789538274,0.0008671068189327385,0.0020067624591311698,0.023011678758169295,0.05159849478693969,-0.03998645557532818
NKG2G,0.5114249610621977,0.421161351343861,0.2701912434014086,0.8865449580219371,0.18459283549177347,0.34318957880821604,0.9999999999999999,0.26339143076870974,0.3447461308838766,0.9055742564797659,0.3139493514055797,0.32163314910239127,0.8494900690694703,0.372978957713173,0.23814430078839877,0.8532431031204144,0.39104967261704,0.3091215229128372,0.7067217969794302,0.31911685087896,0.35053532087534583,0.8297783858327927,0.2681927808046649,0.4793860306528519,0.7560026009125901,0.4346804278263096,0.18661909256251868,0.5091233658571978,0.30106452233983694,0.24434266412366215,0.4945655407661209,0.47441671930393253,0.2288123938159721,0.7176054486246587,0.20507998653164974,0.7757605491863995,0.5720819241703899,0.48152584389422326,0.14418781788502874,0.49438517958638295,0.28275003536759724,0.5751791658111022,0.44504806306956823,0.40231284744095375,0.16985699398328497,0.4014694656709369,0.3372510190493599,0.16539179631348117,0.5096989122055393,0.4346063159062305,0.406901237110864,0.1763902851042388,0.14543815565467735,0.5319493944949544
Vimentin,0.3437772196586964,0.04591905212724989,0.11610461713664816,0.29825759936995283,0.23148891001803087,0.12161188924344905,0.26339143076870974,0.9999999999999998,0.4147144014112057,0.24507186864937094,0.166373895442941,0.31995846227275626,0.1996064397320197,0.1200583084994709,0.41969559580590543,0.24522367583598106,0.06178478675527182,0.4417908351302846,0.3503819428598171,0.017565032730224188,0.24088288322923349,0.3441717846994349,0.2790050114796711,0.4616989822178898,0.5288521845513369,0.17396854014330906,0.21034183393994116,0.017812837043732533,0.04566237280842357,0.09684861617411479,0.3501504003787333,0.48998181044232464,0.08258879278438062,0.4305385079836252,0.36643910868091917,0.24422902262939317,0.12589538218798693,0.1546818625854243,0.2933921634415755,0.2412607959069313,0.20687702097076027,0.399961151729337,0.17309891066029612,0.2272277846859508,0.003999336720700072,0.31206025129021975,0.4284623510369112,0.3164991015700963,0.3039420663946386,0.19322417061618896,0.10606386149183253,0.36261389711228403,0.00960751312505726,0.36164917722586337
CD4,0.36388620821254836,0.163593611539083,0.3016001233768839,0.356014217688634,0.09302028263997822,0.32080773641584326,0.3447461308838766,0.4147144014112057,1.0,0.3755766332983018,0.2972925567384121,0.5959636866997057,0.33429275075787845,0.16537432961664772,0.27464477057869224,0.40464362414759325,0.16410513218025144,0.5958094407731203,0.3583130034963907,0.04255313627931724,0.48995565147177045,0.5830364043762295,0.4333609774503061,0.33773920903479915,0.294823039010241,0.08871777240578885,0.12370126977510572,0.06967222031490104,0.08744806445414675,0.23918028418502896,0.2191747845433847,0.2340964826727864,0.22769328203438155,0.36088220359158935,0.25101740936298483,0.3186898729315128,0.05294370603502748,0.2534661248176714,0.20837638012162946,0.29853993481604907,0.3926052085250393,0.34377607657324427,0.09414264604100728,0.36370932651975524,0.05057740219897503,0.16014679422687558,0.7954529836802487,0.5900406052887704,0.2748394890880559,0.10416126101959845,0.13999743806252818,0.6219318328127938,-0.0542942116475722,0.29801048118709106
CD19,0.3375776591578228,0.40142277986797137,0.2787461134714724,0.7370921809948585,0.16304034792750105,0.3571610239157713,0.9055742564797657,0.24507186864937092,0.3755766332983018,0.9999999999999999,0.31124355146427685,0.3680928500046158,0.9106304868570884,0.3234026674610521,0.1618159399351141,0.867628756613449,0.34285907612383093,0.3078012414347227,0.5359476831577501,0.269351288995374,0.3425151672983255,0.8259001148698266,0.4125048703747073,0.3466874403656328,0.7495240454059964,0.286204171988704,0.15989395571900158,0.6111307610789357,0.24779838621965836,0.2400322222678269,0.3215703814153926,0.34553400620138075,0.23692216917953512,0.5983848064322771,0.1357006870698132,0.7030924422146411,0.4010223439056289,0.4799490769238886,0.12004238914157465,0.5672930722938483,0.31206939734507744,0.4911221323138826,0.28365917734265533,0.4517741237220376,0.14377950627111077,0.292861441309402,0.36169808147070237,0.1427680002889206,0.373428109066077,0.29997205988660824,0.3433683650326251,0.14865770090907232,0.19175849040895246,0.3670970195759814
CD7,0.036702346839341,0.3408786465514102,0.5632849824468841,0.1905597686419112,0.2534484175478225,0.5380558003297667,0.3139493514055797,0.166373895442941,0.2972925567384121,0.31124355146427685,1.0,0.35650855064472153,0.36000778893145313,0.19135685812212913,0.1015649042406656,0.280939605954378,0.24614382293227538,0.2223767736759034,0.10897674890321306,0.1696603030349113,0.576948001630892,0.2836988511634899,0.23451774574106724,0.052252983239392294,0.23862982564305754,-0.027304046676454544,0.14580604427397356,0.32787588678103746,0.0963095086853886,0.3629409374580898,0.05387495356299793,0.03430171828975794,0.43892743208591484,0.17634909922286415,0.07365647127909132,0.24923299020205492,0.013303756914256984,0.49168071064036245,0.12889632618571295,0.33389438323461496,0.5211719715750924,0.17416713398783593,-0.028097771073905275,0.2928093560212102,0.10229466192022024,0.058669919179918574,0.2494294269642485,0.1123553375683275,0.013905245273114156,0.007653254975043601,0.07726389202903441,0.09230376530994605,0.23836064195732318,0.029229830463310374
CD11c,0.23468998438900557,0.1398442527953939,0.3908210801992509,0.2836019852024928,0.14493786160873892,0.43458331681718454,0.3216331491023912,0.31995846227275626,0.5959636866997057,0.3680928500046158,0.3565085506447216,1.0,0.32891596711646726,0.1504997411010138,0.1884498235334522,0.3658866704999663,0.1373470139406289,0.601101844505191,0.25380892252078785,0.09619589283668226,0.40493982851791505,0.5028752234459309,0.3821464739131007,0.2210124528135571,0.2674570665516932,0.06060966842319596,0.1639280294810205,0.1438082283357692,0.05743722151964312,0.29063276984734043,0.14190641499343304,0.1827138524439762,0.3210901275734843,0.27213513980201814,0.17004975504046824,0.2602544451420477,0.048026739389351904,0.24546235970385727,0.17971516346823105,0.25188225081785315,0.3496850701705798,0.24034912191069754,0.06707511315251768,0.4173684807516548,0.07211597054529674,0.11868528110694491,0.6051454186995078,0.3078816162688475,0.17979241931344694,0.08118370155728447,0.08835753255719248,0.31343096298404277,-0.02419541337407658,0.17245527715453987
CD161,0.19860855119244472,0.38911489357410417,0.26768968491581663,0.6214060206181624,0.14719614654536675,0.346530293514819,0.8494900690694702,0.1996064397320197,0.33429275075787845,0.9106304868570884,0.36000778893145313,0.32891596711646726,0.9999999999999999,0.2884050317659605,0.11521979755234774,0.8520324438706937,0.3189755787645628,0.24908600077742216,0.4152711436298592,0.24507361158693483,0.41406594918964484,0.7823779931452782,0.3063374961789073,0.24764342369113176,0.7235335160313445,0.21413511285605896,0.13641772944970723,0.676849397149583,0.21713220298846445,0.2393780684587434,0.20504810160900508,0.2684970642735929,0.2258408827536594,0.5068045110134303,0.09463004571351397,0.6446199287767423,0.3252068731191861,0.5378371046027453,0.10377920455651864,0.5110870552317106,0.33032731555864214,0.4240010271700998,0.2103691630388121,0.43838902467159246,0.13397234609212985,0.22959929320461592,0.3249027323758148,0.09349396819915996,0.28165291895645067,0.23839192138852394,0.29633439813320117,0.0914126198418216,0.2503308522114155,0.26225087808122466
CD15,0.2569817069778547,0.7547955325229102,0.14091892742061518,0.44346053351103837,0.022851180345816523,0.12199782453987318,0.3729789577131731,0.12005830849947091,0.16537432961664772,0.3234026674610521,0.19135685812212913,0.15049974110101383,0.28840503176596044,1.0,-0.013500240098726453,0.27670189338808193,0.7694757813620036,0.09130703140637494,0.44982102871508556,0.7076513432513603,0.20704616669491402,0.3067865861809133,0.09331800549781381,0.08874366092546677,0.3559280162927564,-0.060805816133251894,0.01794299149180006,0.13485921851230206,0.5793657212765145,0.15177233466084,0.21860220640601566,0.001739926794807825,0.11148598881374432,0.28843602061066276,0.018167670808064435,0.5065550543311163,0.21191059378943722,0.25986141977411426,0.04622064002994222,0.38607268712152637,0.15627800812874487,0.49778870919964113,-0.0588978514465719,0.14673985263808287,0.3837149829914857,-0.008373308042135858,0.19661820590202572,0.01032625372949004,0.04594461580425049,-0.07006160497738051,0.8490740269806699,0.03592551614004984,0.00023218535370387157,0.22929041326573793
CD34,0.35221322655686954,-0.041113016972004084,0.18113086106902437,0.2769047504757407,0.22864310932049062,0.20401577019325737,0.2381443007883988,0.41969559580590543,0.27464477057869224,0.1618159399351141,0.1015649042406656,0.18844982353345222,0.11521979755234775,-0.013500240098726453,0.9999999999999999,0.23825889591777238,0.005108458424705414,0.5095534203751451,0.4235559484131177,0.002039672758457848,0.13068138127377302,0.2701864096428907,0.04542905018062174,0.5242832609976594,0.30677782755933625,0.209452951679892,0.27473753857639316,0.016913753543313592,-0.017314905247681173,0.1345012542123886,0.4052509845925579,0.3400897764461565,0.16130898754606557,0.38723820111169377,0.5956958341437754,0.15199219149537024,0.14253612170865798,0.03979985158564787,0.4087886455870516,0.06705537218406876,0.09032945859224067,0.44022231930460826,0.2595168328595884,0.08076505873712532,0.016134420541606624,0.35806603682377086,0.19819432834153924,0.3232886309983154,0.34027751700134445,0.22359669210084376,-0.04110058615488487,0.32104519396598546,-0.043097502365374844,0.3330735174167033
CD16,0.31692651244475817,0.32346050012692207,0.238860632175157,0.6949495643031494,0.17848248490523033,0.32080351760002873,0.8532431031204144,0.2452236758359811,0.4046436241475932,0.8676287566134488,0.280939605954378,0.3658866704999663,0.8520324438706937,0.27670189338808193,0.23825889591777238,0.9999999999999999,0.2840080133701767,0.34925668992664033,0.5592074944797437,0.2392405795701944,0.3059866287626771,0.8405751972711322,0.2627561760734141,0.390386994439012,0.724007386407326,0.3680283663242858,0.18450692938022356,0.5707803055926107,0.18569222355022466,0.2253404538206309,0.359258585811072,0.40995723562402264,0.21084346353196942,0.5940098898333165,0.19910633889292478,0.6449115035687305,0.43836640020040696,0.4314808144127632,0.1450902589503365,0.4389924510091127,0.24936636424005218,0.46164823145635336,0.3795153354762198,0.4343106824460049,0.13636260608463405,0.3487987451481607,0.3791227010167401,0.24995209201435725,0.44640046279486506,0.3774224439823751,0.2620799928790784,0.24032206394968667,0.1889555380159085,0.395173384869058
ITLN1,0.24168410273583504,0.8499944917881064,0.22199448245657902,0.43512585137198406,0.06045031870036999,0.18500781062966118,0.39104967261703993,0.06178478675527182,0.16410513218025144,0.342859076123831,0.2461438229322754,0.1373470139406289,0.31897557876456273,0.7694757813620037,0.005108458424705415,0.28400801337017667,1.0,0.08027833608042424,0.39499575716508295,0.5645092039400554,0.22759085086895786,0.3071157273152182,0.07668166563438591,0.13105839238827435,0.3614099736770543,-0.03159007213549665,0.043706000546402064,0.1905447112014197,0.5799522387388889,0.20226577150426564,0.1980938037769181,0.007233568253655979,0.17874505135744645,0.3369679386293813,0.016120915225819855,0.5689023292643777,0.2421100108242979,0.3078958362605925,0.04869492660541584,0.4285289301135384,0.16571774262030478,0.476936017283946,-0.032295275472360656,0.1548994944750201,0.4775165234916279,0.02085954821913504,0.14943257622871778,0.008113452098649004,0.08515354761809682,-0.03901158005881477,0.7135239886568833,0.029474028860896975,0.026794100621434707,0.19917467079007847
HLADR,0.32825503898669856,0.059380409993959944,0.25082879755883997,0.31078097191717863,0.10086920208839462,0.2586467303738185,0.30912152291283723,0.4417908351302846,0.5958094407731204,0.30780124143472276,0.2223767736759034,0.601101844505191,0.24908600077742218,0.09130703140637494,0.5095534203751451,0.34925668992664033,0.08027833608042424,1.0,0.44665267109361834,0.05007785746912327,0.30638816570667704,0.4614200903679755,0.31791734864623433,0.36017972176105995,0.3159122531429127,0.1497526550621624,0.17643875303229611,0.05912040644688016,0.028378506895535865,0.20038322911007808,0.22920862425714705,0.3048757730471554,0.21617516281412133,0.32612237836833285,0.6546587767741219,0.23520645789252614,0.10708358319133644,0.16719874163860884,0.43619022842880806,0.18267537092083636,0.2680817341929276,0.4478464823973395,0.19097452456408107,0.35522031828031764,0.03944381628880322,0.16216956977053515,0.5769957229197873,0.4178922477681798,0.27249722521899805,0.10284028521586613,0.051356519978195514,0.42623003064672743,-0.04195625572045937,0.29751279301746203
