component,area_blocks,area_um2,centroid_y_px,centroid_x_px,max_non_nuclear_positive_markers,mean_non_nuclear_positive_markers,nuclear_high_fraction,hit_marker_count,hit_markers,group_hits__immune/T-reg/activation,group_hits__epithelial/nuclear TF,group_hits__immune/NK/T,group_hits__immune/NK,group_hits__immune/T-helper,group_hits__immune/B,group_hits__immune/T/NK,group_hits__immune/myeloid/APC,group_hits__vascular/stromal,group_hits__immune/myeloid/NK,group_hits__immune/APC,group_hits__immune/T,group_hits__immune/T-memory,group_hits__epithelial,group_hits__neuroendocrine,group_hits__immune/B/FDC,group_hits__epithelial/mucin,group_hits__neuroendocrine/neural,group_hits__immune/pDC,group_hits__immune/plasma,group_hits__immune/mast,group_hits__stromal/fibroblast,group_hits__immune/survival,group_hits__immune/T-cytotoxic,group_hits__immune/plasma/epithelial,group_hits__immune/macrophage,group_hits__stromal,group_hits__immune/granulocyte,group_hits__epithelial/goblet,group_hits__epithelial/myeloid,group_hits__stromal/T,group_hits__ECM/basement membrane,group_hits__vascular/endothelial,group_hits__nuclear/proliferation,group_hits__vascular/stromal/immune,group_hits__immune/activation,group_hits__epithelial/basal,group_hits__lymphatic/stromal,group_hits__epithelial/stromal,group_hits__epithelial/stem,group_hits__immune/pan-leukocyte,group_hits__epithelial/immune/stromal
19,187,6818.445342720001,5804.914786967419,4330.6566416040105,49,34.13903743315508,0.17647058823529413,45,MUC1;CD25;CDX2;Synaptophysin;CD57;NKG2G;Vimentin;CD4;CD19;CD7;CD11c;CD161;CD15;CD34;CD16;ITLN1;HLADR;CD123;CD66;CD3;CD45RO;CD38;CD90;CK7;CD117;CD127;CHGA;FAP;CollagenIV;CD21;BCL2;CD31;Ki67;SOX9;CD8;CD36;CD138;CD69;CD49f;CD49a;CD68;OLFM4;Podoplanin;CD45;CD163,1.0,2.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
8,4,145.84909824000002,4336.27972027972,4014.8251748251746,41,35.75,0.0,41,MUC1;CD25;CDX2;Synaptophysin;CD57;NKG2G;Vimentin;CD4;CD19;CD7;CD11c;CD161;CD15;CD34;CD16;ITLN1;HLADR;CD123;CD66;CD3;CD45RO;CD38;CD90;CK7;CD117;CD127;CHGA;FAP;CollagenIV;CD21;BCL2;CD31;Ki67;SOX9;CD8;CD36;CD138;CD69;CD49f;CD68;Podoplanin,1.0,2.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
57,4,145.84909824000002,8631.030303030304,5355.393939393939,40,24.75,0.0,24,CD25;CDX2;Synaptophysin;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CK7;CD117;CD127;CHGA;FAP;CD21;CD8;CD69,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,
32,5,182.31137280000002,6659.212598425197,4068.5984251968503,36,25.4,0.2,31,MUC1;CD25;CDX2;Synaptophysin;CD57;NKG2G;Vimentin;CD4;CD19;CD7;CD11c;CD161;CD15;CD34;CD16;ITLN1;HLADR;CD123;CD3;CD45RO;CD38;CD90;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;CD8;CD69,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,
20,8,291.69819648000004,5744.365482233503,8615.837563451776,34,24.625,0.0,25,CD25;CDX2;Synaptophysin;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;CD8;CD138,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
22,4,145.84909824000002,5790.962962962963,1056.0,32,27.0,1.0,30,CDX2;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CD90;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;Ki67;CD8;CD138;CD69;CD49f;CD68;Podoplanin;CD163,,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,
14,9,328.16047104000006,5533.457943925234,948.1121495327103,31,23.77777777777778,1.0,27,CDX2;CD57;NKG2G;CD4;CD19;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CD38;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;Ki67;CD8;CD138;CD69;CD49f;CD68,,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,
3,4,145.84909824000002,1423.709090909091,3791.8545454545456,29,27.5,0.0,28,MUC1;CD25;CDX2;Synaptophysin;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CD38;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;CD8;CD138;CD68,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
25,4,145.84909824000002,5873.638554216867,8576.674698795181,28,20.75,0.0,22,CD25;CDX2;Synaptophysin;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CK7;CD117;CD127;CHGA;CD21;CD8,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
41,3,109.38682368000002,7491.151515151515,2524.3636363636365,28,22.0,1.0,28,CD25;CDX2;CD57;NKG2G;CD4;CD19;CD7;CD11c;CD161;CD34;CD16;HLADR;CD123;CD3;CD45RO;CK7;CD117;CD127;CHGA;FAP;CD21;BCL2;Ki67;CD8;CD138;CD69;CD49f;CD68,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,2,1,1,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,
