channel_index,marker,h_profile_p95_over_dynamic,v_profile_p95_over_dynamic,h_seam512_over_p75diff,v_seam512_over_p75diff,score
0,Hoechst1,0.02914437651617256,0.028146636022608005,0.826862633228302,0.7843091487884521,0.057291012538780564
1,MUC1,0.014649991317833613,0.011384563726017389,0.8880833387374878,4.036910057067871,0.026034555043851
2,CD25,0.0,0.0,1.0,1.0,0.0
3,CDX2,0.0258751506064584,0.019460040460725116,0.8051573634147644,0.7605554461479187,0.04533519106718352
4,Synaptophysin,0.0017923185462127146,0.002415311999967412,1419.40966796875,1149.3709716796875,0.004207630546180127
5,CD57,0.0,0.0,1.0,1.0,0.0
6,NKG2G,0.02427024904751235,0.01910368268129192,0.5641503930091858,0.8722121715545654,0.04337393172880427
7,Vimentin,0.011445822156141231,0.008393390809361715,1.2610160112380981,0.654047966003418,0.019839212965502947
8,CD4,0.0,0.0,1.0,1.0,0.0
9,CD19,0.020964887564512556,0.017560786690246993,0.5757510662078857,0.7463247179985046,0.03852567425475955
10,CD7,0.0009760829023480729,0.0021100317446799905,1070.69677734375,203.0408172607422,0.003086114647028063
11,CD11c,0.0,0.0,1.0,1.0,0.0
12,CD161,0.02183332274498262,0.01811139518848216,0.4589981734752655,0.8723676800727844,0.03994471793346478
13,CD15,0.0,0.0,1.0,1.0,0.0
14,CD34,0.0,0.0,1.0,1.0,0.0
15,CD16,0.020271373550402722,0.016874003471937595,0.5982468724250793,0.5644294023513794,0.03714537702234032
16,ITLN1,0.0,0.0,1.0,1.0,0.0
17,HLADR,0.0,0.0,1.0,1.0,0.0
18,CD123,0.023450921746637106,0.024325665041934407,0.9583572745323181,0.7816835045814514,0.04777658678857151
19,CD66,0.0,0.0,1.0,1.0,0.0
20,CD3,0.0,0.0,1.0,1.0,0.0
21,CD45RO,0.018925856483076542,0.01765018066360235,0.7431157231330872,0.742640495300293,0.0365760371466789
22,CD38,0.0,0.0,1.0,1.0,0.0
23,CD90,0.044280565626412347,0.06952909122010074,66002.2578125,11140.400390625,0.11380965684651309
24,CK7,0.03696100555904127,0.0274638887986093,0.8387577533721924,0.522805392742157,0.06442489435765057
25,aSMA,0.19593938453732845,0.0,106579.828125,1.0,0.19593938453732845
26,CD117,0.0,0.0,1.0,1.0,0.0
27,CD127,0.049323126484064374,0.0414337972125148,0.8339647054672241,0.8716131448745728,0.09075692369657917
28,MUC2,0.0,0.0,1.0,1.0,0.0
29,CHGA,0.0,0.0,1.0,1.0,0.0
30,FAP,0.05853802603944698,0.05832028808959007,1.010430932044983,0.6143090724945068,0.11685831412903705
31,CollagenIV,0.12964731847609642,0.1101287089038869,6.151806354522705,1.4441404342651367,0.23977602737998333
32,CD21,0.0,0.0,1.0,1.0,0.0
33,BCL2,0.05231711459323243,0.04117256541599074,1.2656869888305664,0.6174200773239136,0.09348968000922317
34,CD31,0.0,0.0,1.0,1.0,0.0
35,Ki67,0.03244207978358644,0.026620143482535028,0.6715081334114075,0.6499243378639221,0.05906222326612147
36,SOX9,0.0640014725640009,0.0,41917.30859375,1.0,0.0640014725640009
37,CD8,0.022502147073647526,0.016868473573780192,0.6100122928619385,0.47077396512031555,0.03937062064742772
38,CD36,0.0,0.0,1.0,1.0,0.0
39,CD138,0.017485388042704986,0.01292233809868577,0.3606362044811249,0.5672124624252319,0.030407726141390756
40,CD69,0.0,0.0,1.0,1.0,0.0
41,CD49f,0.028888850082574375,0.02278006443018244,0.576452910900116,0.5682658553123474,0.05166891451275682
42,CD49a,0.14088667258344104,0.0,76890.234375,1.0,0.14088667258344104
43,CD68,0.020146117740472213,0.017786893412835732,0.685619056224823,0.6875773668289185,0.037933011153307945
44,OLFM4,0.0,0.0,1.0,1.0,0.0
45,Podoplanin,0.0356124980927434,0.02290673760685395,0.8904643058776855,0.5605354905128479,0.058519235699597355
46,CD45,0.0,0.0,1.0,1.0,0.0
47,CD163,0.022345152214075036,0.017169830700378287,0.6144592761993408,0.4901045262813568,0.03951498291445332
48,CD44,0.1498727100556862,0.00027939462096485785,116810.1796875,1.0,0.15015210467665105
49,CD56,0.07738385935246485,0.028696390785907806,2.0921053886413574,0.7726938724517822,0.10608025013837266
50,Cytokeratin,0.0,0.0,1.0,1.0,0.0
51,CD206,0.01741468291149166,0.01308842121874519,0.7048376202583313,0.5557852387428284,0.030503104130236852
52,aDefensin5,0.023772509706135064,0.021282393045297592,0.5712093710899353,0.4819304049015045,0.04505490275143266
53,DRAQ5,0.025082531475078756,0.025951063620170772,0.6826475858688354,0.5956761240959167,0.05103359509524953
